{i}, {x_center}, {y_center}, {width}, {height}, {confidence_i_found_a_thing}, {confidence_its_a_face},
2813, 624.5245, 635.6016, 5.515141, 11.86324, 18.57818, 25.72729,
2814, 34.46073, 43.85553, 51.7546, 60.93147, 70.47471, 74.80208,
2815, 79.9511, 89.7347, 96.75446, 106.3436, 114.3706, 121.4142,
2816, 128.8306, 137.4637, 146.5036, 154.1695, 166.0879, 175.7637,
2817, 183.3741, 189.4935, 195.6985, 206.3575, 212.4984, 220.1768,
2818, 227.5195, 235.6125, 243.3901, 251.6897, 257.5706, 265.9583,
2819, 275.6476, 282.8707, 289.4855, 301.1448, 309.5372, 314.5091,
2820, 327.8138, 334.192, 337.49, 345.7761, 355.4449, 367.3282,
2821, 373.0831, 382.867, 389.8386, 393.0193, 402.2685, 410.1599,
2822, 417.0536, 424.3996, 432.9061, 442.197, 449.8235, 458.7848,
2823, 468.5045, 475.8918, 481.9481, 490.5323, 497.3486, 503.2256,
2824, 516.8837, 524.4268, 532.0829, 540.2126, 552.8832, 554.3281,
2825, 561.7064, 568.655, 576.0762, 584.5043, 592.0987, 602.9272,
2826, 612.8845, 619.8428, 624.6401, 635.3503, 5.76441, 10.74036,
2827, 18.85211, 24.92152, 34.79141, 43.09988, 50.80928, 60.55194,
2828, 70.81754, 75.70502, 80.60712, 90.22884, 97.43329, 106.9255,
2829, 114.5757, 121.7157, 129.0537, 137.5846, 146.3356, 154.2361,
2830, 165.0335, 175.1462, 183.9526, 189.03, 194.4852, 203.4952,
2831, 211.0583, 219.4448, 225.9433, 233.4857, 240.6493, 249.5895,
2832, 258.7264, 265.0535, 274.894, 282.1257, 289.6197, 303.1443,
2833, 308.7491, 312.0158, 325.0557, 332.4133, 335.7894, 344.5754,
2834, 355.0453, 365.0198, 373.0159, 384.1224, 389.4744, 391.7248,
2835, 401.2786, 410.0731, 418.0732, 424.5311, 432.63, 440.7267,
2836, 448.5915, 457.7633, 467.1857, 476.1026, 483.1958, 491.4042,
2837, 498.5709, 509.1841, 515.0781, 528.3035, 532.9135, 537.793,
2838, 550.5786, 554.2888, 561.9832, 569.2966, 574.2767, 586.4797,
2839, 594.0478, 601.5963, 611.9385, 621.1494, 625.1404, 634.382,
2840, 6.369993, 11.57658, 19.68748, 24.12463, 35.00988, 42.59241,
2841, 49.6524, 60.12564, 70.53699, 76.05342, 80.66522, 89.83334,
2842, 97.24543, 106.6721, 114.0925, 121.5735, 129.4082, 138.1717,
2843, 146.8877, 154.9238, 164.2343, 175.3002, 183.9644, 190.5821,
2844, 195.3129, 202.8807, 210.8474, 219.5323, 225.0576, 234.1143,
2845, 240.2145, 251.517, 258.3784, 264.85, 274.2937, 282.7671,
2846, 289.4305, 299.695, 308.2854, 317.7937, 325.4515, 329.7142,
2847, 336.4442, 344.926, 355.0219, 361.4299, 371.8877, 382.5441,
2848, 388.5183, 392.2779, 403.1428, 411.3754, 418.7374, 425.684,
2849, 434.1583, 440.5341, 447.9064, 457.2393, 465.7148, 474.9837,
2850, 482.039, 494.6662, 497.7753, 506.6977, 513.4305, 523.9371,
2851, 533.2034, 542.691, 549.8042, 551.9387, 566.943, 570.6828,
2852, 573.2111, 585.6682, 595.6849, 601.4293, 610.3313, 621.7978,
2853, 626.0735, 634.8763, 6.588014, 10.9677, 19.71095, 24.49252,
2854, 35.27973, 42.91877, 49.78855, 59.94093, 70.49175, 76.64612,
2855, 81.01445, 90.03294, 97.42236, 106.5498, 113.789, 121.3779,
2856, 129.2684, 138.0675, 146.6984, 154.8938, 162.6478, 172.8682,
2857, 182.6421, 189.5572, 196.088, 202.5537, 211.179, 219.1269,
2858, 225.0143, 235.6565, 241.8961, 255.2988, 258.4036, 266.3368,
2859, 273.6836, 281.7538, 289.9388, 297.7659, 306.7697, 317.5084,
2860, 323.6404, 332.35, 340.0629, 348.186, 355.788, 360.989,
2861, 369.269, 380.367, 386.1708, 394.1036, 405.2933, 414.3589,
2862, 417.337, 425.1936, 434.2151, 441.853, 449.5436, 459.2736,
2863, 466.0765, 473.9153, 482.9492, 493.9795, 496.712, 505.8573,
2864, 513.7431, 522.2222, 533.9311, 543.4136, 549.8412, 552.2656,
2865, 567.0029, 570.4355, 573.2263, 584.7115, 593.8741, 602.768,
2866, 608.9169, 620.3928, 626.8884, 636.0707, 6.510186, 10.62657,
2867, 19.03755, 25.0067, 34.90709, 42.54427, 50.03364, 59.47506,
2868, 69.79511, 76.90706, 80.52498, 89.60651, 97.03551, 105.9809,
2869, 113.5216, 121.0814, 129.1298, 138.1239, 147.0225, 155.2739,
2870, 162.3402, 172.7065, 181.1363, 189.7128, 196.6043, 202.5208,
2871, 212.0157, 219.2659, 226.287, 236.765, 243.735, 254.5013,
2872, 258.3918, 263.8455, 274.9962, 282.3033, 289.6262, 297.4631,
